source_term,type,approved_ar,status,notes
Gloom,mechanic,القَتام,approved,goddess-marrow substance; 'crudely called Gloom'. NOT الظلمة (darkness)
Blackmarrow,story,النُّخاع الأسود,approved,true name of Gloom
Gloomslayer,story,قاتل القَتام,approved,
Gloom Siphon,location,مِصفاة القَتام,approved,
Shell,mechanic,الهَيكل,approved,possessable warrior husk; plural الهَياكل. NOT الغلاف (wrapper)
Shellkeeper,character,حارسة الهَياكل,approved,"Zhirelle's title; she is female, so the title is feminine throughout"
Tar,mechanic,القار,approved,literal in-world substance; classical Arabic word for tar/pitch
Tarstone,mechanic,حجر القار,approved,NOT transliterated تارستون
Tarforge,location,مِصهَر القار,approved,NOT transliterated تارفورج
Ovum,story,البَيضة,approved,singular sacred egg
Ova,story,البُيوض,approved,plural; NOT transliterated أوفا
Ovum Keeper,character,حارس البُيوض,approved,
Unblemished Ova,story,البُيوض الطاهرة,approved,
Spoiled Ovum,story,بَيضة فاسدة,approved,
Seal,mechanic,الخاتَم,approved,worn signet-object granting abilities; NOT ختم (the act of stamping)
Slayer Seal,mechanic,خاتم القاتل,approved,
Harden,mechanic,التحجُّر,approved,flesh to stone; matches the game's own 'petrifies'
Perfect Harden,mechanic,تحجُّر مثالي,approved,
Glimpse,mechanic,الوَمضة,approved,collectible memory-flash; plural الوَمَضات. NOT لمحة
Sester,honorific/title,أُخَيّة,approved,"warped 'sister' -> archaic Arabic diminutive, not transliteration"
Brether,honorific/title,أُخَيّ,approved,warped 'brother'
High Sester,honorific/title,الأُخَيّة الكُبرى,approved,
Mether,character,الأُمَّهة,approved,warped 'Mother'; أُمَّهة is an attested classical variant of أُمّ (Lisan al-Arab)
Undermether,character,الأُمَّهة السُّفلى,approved,
Blessed Mether,character,الأُمَّهة المباركة,approved,
Mether's Pulse,mechanic,نبض الأُمَّهة,approved,
Mether's Breath,mechanic,نفَس الأُمَّهة,approved,
Harbinger,character,النذير,approved,"player character. RESERVED: the common noun 'omen' must use آية/بشير, never نذير"
Beacon,mechanic,المنارة,approved,
Resolve,mechanic,العزيمة,approved,
Break,mechanic,الكَسر,approved,posture-break; 'Break Damage' = ضرر الكَسر
Marrow Keep,location,حصن النخاع,approved,
Fallgrim,location,فولغريم,approved,
Foul Passenger,story,الراكب الفاسد,approved,
False gods,story,الآلهة الزائفة,approved,
Etching Needles,item,إبر النقش,approved,
Vlas,character,ڤلاس,approved,V -> ڤ
Vatra,character,ڤاترا,approved,V -> ڤ
Vellen,character,ڤيلن,approved,V -> ڤ
Vellis,character,ڤيليس,approved,V -> ڤ
Vratko,character,ڤراتكو,approved,V -> ڤ
Vrago,character,ڤراغو,approved,V -> ڤ
Vrannic,character,ڤرانيك,approved,V -> ڤ
Vish,character,ڤيش,approved,V -> ڤ
Viola,character,ڤيولا,approved,V -> ڤ
Ventrium,location,ڤنتريوم,approved,V -> ڤ
Egon,character,إيغون,approved,
Gorf,character,غورف,approved,
Genessa,character,جينيسا,approved,
Franz,character,فرانز,approved,
Merrick,character,ميريك,approved,
Hilga,character,هيلغا,approved,
Zhirelle,character,زيريل,approved,
Tiel,character,تيل,approved,
Eredrim,character,إردريم,approved,
Proxima,character,بروكسيما,approved,
Gragu,character,غراغو,approved,
Smert,character,سميرت,approved,
Lazlo,character,لازلو,approved,
Sariel,character,سارييل,approved,
Baghead,character,باغهيد,approved,
